ID,SFR,2MASS ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,LIM_A67,FL_A36,A36,LIM_A36,FL_R7,R7,LIM_R7,REF_R7
1,Tau,J04135737+2918193,IRAS_04108+2910,8.10,0.10,GaiaDR2,123.0,2.4,1.9,S,-1,II,M0,Luhman10,3.586,0.024,Andrews13,-0.691,140.0,0.290,-0.803,0.289,0.289,Andrews13,0,-0.228,0.082,0.134,7.01,0.38,0.56,0.0,-1,0.00,0.00,0.00,none,230.6,1,-1.00,-1.00,19.80,Schaefer09,111.0,1,-1.00,-1.00,5.10,Schaefer09,-1,0.00,0.00,-1,0.00,0.00,-1,-1.00,-1.00,none
2,Tau,J04141188+2811535,J04141188,7.63,0.17,GaiaDR2,130.7,3.6,3.2,S,-1,II,M6.25,Luhman10,3.472,0.019,Andrews13,-1.746,140.0,0.082,-1.799,0.079,0.090,Andrews13,0,-1.330,0.412,0.021,6.75,0.32,0.49,338.7,0,1.06,0.21,0.00,Ward-Duong18,230.6,1,0.91,0.65,2.86,Scholz06,0.0,-1,0.00,0.00,0.00,none,1,-1.00,-2.58,-1,0.00,0.00,-1,-1.00,-1.00,none
3,Tau,J04141358+2812492,FM_Tau,7.58,0.05,GaiaDR2,131.4,2.1,1.7,S,-1,II,M0,Luhman10,3.586,0.024,Andrews13,-0.393,140.0,0.122,-0.458,0.133,0.112,Andrews13,0,-0.188,0.084,0.169,6.49,0.35,0.31,347.4,0,32.00,8.00,0.00,Andrews05,220.0,0,11.30,0.20,0.00,Pietu14,100.7,0,2.65,0.24,0.00,Ricci10,0,2.28,0.00,0,1.86,0.00,-1,-1.00,-1.00,none
4,Tau,J04141458+2827580,FN_Tau,7.62,0.06,GaiaDR2,130.4,2.4,1.6,S,-1,II,M5,Luhman10,3.495,0.020,Andrews13,-0.082,140.0,0.097,-0.138,0.096,0.101,Andrews13,0,-0.527,0.067,0.045,5.72,0.13,0.00,339.7,0,44.00,0.20,0.00,Tripathi17,230.6,1,-1.00,-1.00,17.70,Schaefer09,102.5,0,4.10,0.80,0.00,Ricci12,1,-1.00,2.35,2,-1.00,1.80,1,-1.00,0.17,Tripathi17
5,Tau,J04141700+2810578,CW_Tau,7.55,0.04,GaiaDR2,132.0,2.0,1.8,S,-1,II,K3,Luhman10,3.675,0.016,Andrews13,0.384,140.0,0.205,0.325,0.213,0.196,Andrews13,0,0.113,0.063,0.073,6.20,0.30,0.33,343.0,0,145.10,1.40,0.00,Bacciotti18,220.0,0,58.70,0.40,0.00,Pietu14,84.2,0,3.44,0.31,0.00,Ricci10,0,2.04,0.00,0,2.95,0.00,-1,-1.00,-1.00,none
6,Tau,J04141760+2806096,CIDA_1,7.37,0.09,GaiaDR2,135.2,2.6,2.3,S,-1,II,M5.5,Luhman10,3.485,0.020,Andrews13,-0.901,140.0,0.089,-0.928,0.088,0.093,Andrews13,0,-0.868,0.170,0.032,6.13,0.19,0.30,338.0,0,35.40,0.20,0.00,Pinilla18,230.6,0,13.50,2.80,0.00,Schaefer09,93.0,0,1.98,0.11,0.00,Ricci14,0,2.52,0.00,0,2.11,0.00,-1,-1.00,-1.00,none
7,Tau,J04142626+2806032,MHO_1+2,7.54,0.22,GaiaDR2,132.3,4.5,3.9,J,3.93,II,,,,,,,,,0.301,0.882,0.112,Andrews13,0,-0.024,0.125,0.062,5.77,0.43,0.24,340.2,0,771.90,3.30,0.00,Akeson14,223.6,0,350.08,0.79,0.00,Akeson14,102.5,0,8.07,1.10,0.00,Ricci12,0,1.88,0.00,0,4.83,0.00,-1,-1.00,-1.00,none
8,Tau,J04142626+2806032,MHO_1,7.04,0.54,GaiaDR2,141.7,13.7,9.0,T,0,II,M2.5,Luhman10,3.543,0.018,Andrews13,0.230,140.0,0.883,0.172,0.969,0.811,Andrews13,0,-0.479,0.103,0.113,5.16,1.65,0.10,340.2,0,476.70,3.20,0.00,Akeson14,223.6,0,216.74,0.76,0.00,Akeson14,102.5,0,5.05,1.10,0.00,Ricci12,0,1.88,0.00,0,4.82,0.00,-1,-1.00,-1.00,none
9,Tau,J04142639+2805597,MHO_2_AB,7.54,0.22,GaiaDR2,131.9,4.9,3.6,CB,0.05,II,,,,,,,,,0.094,0.173,0.143,Andrews13,0,-0.228,0.187,0.073,5.78,0.34,0.24,340.2,0,295.20,3.30,0.00,Akeson14,223.6,0,133.34,0.79,0.00,Akeson14,102.5,0,3.02,1.10,0.00,Ricci12,0,1.89,0.00,0,4.86,0.00,-1,-1.00,-1.00,none
,Tau,J04142639+2805597,MHO_2_A,7.54,0.22,GaiaDR2,132.6,4.3,4.3,B,0,II,M2.5,Luhman10,3.543,0.018,Andrews13,0.019,140.0,0.189,-0.028,0.190,0.191,Andrews13,0,-0.490,0.074,0.096,5.13,0.63,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
