name       type rau     erau	pair
RY_Tau     G    43.41	0.13	0
RY_Tau	   R	49.04	0.14	0
UZ_Tau_E   G	69.05	0.20	0
UZ_Tau_E   R    77.04	0.47	0
DS_Tau	   G    32.93	0.32	0
DS_Tau	   R    56.78	0.16	0
FT_Tau	   G    24.78   0.19    0
FT_Tau     R    32.14   0.13    0
MWC_480    G    73.43   0.16    0
MWC_480    R    97.58   0.08    0
DN_Tau     G    49.29   0.44    0
DN_Tau     R    53.39   0.95    0
GO_Tau     G    58.91   0.66    0
GO_Tau     R    73.02   0.16    0
GO_Tau     G    86.99   0.88    1
GO_Tau     R    109.45  0.36    1
IQ_Tau     G    41.15   0.63    0
IQ_Tau     R    48.22   1.09    0
DL_Tau     G    39.29   0.32    0
DL_Tau     R    46.44   0.48    0
DL_Tau     G    66.95   0.87    1
DL_Tau     R    78.08   0.24    1
DL_Tau     G    88.90   1.11    2
DL_Tau     R    112.27  0.32    2
CI_Tau     G    13.92   0.32    0
CI_Tau     R    27.67   0.24    0
CI_Tau     G    48.36   0.41    1
CI_Tau     R    61.95   0.47    1
CI_Tau     G    118.99  0.65    2
CI_Tau     R    152.80  0.47    2
AS_209     G    8.69    0.11    0
AS_209     R    14.2    0.14    0
AS_209     G    23.84   0.15    1
AS_209     R    27.8    0.3     1
AS_209     G    35.04   0.18    2
AS_209     R    38.7    0.3     2
AS_209     G    60.8    0.3     3
AS_209     R    74.15   0.12    3
AS_209     G    105.5   0.4     4
AS_209     R    120.14  0.12    4
AS_209     G    137     1       5
AS_209     R    141     1       5
DoAr_25    G    74      5       0
DoAr_25    R    86      5       0
DoAr_25    G    98.0    0.3     1
DoAr_25    R    111.3   0.4     1
DoAr_25    G    125     1       2
DoAr_25    R    137     1       2
DoAr_33    G    9       2       3
DoAr_33    R    17      2       3
Elias_20   G    25.07   0.17    0
Elias_20   R    29      1       0
Elias_20   G    33      1       1
Elias_20   R    36      1       1
Elias_24   G    56.8    0.3     0
Elias_24   R    76.71   0.13    0
Elias_24   G    89      1       1
Elias_24   R    123     1       1
Elias_27   G    69.1    0.4     0
Elias_27   R    86      1       0
GW_Lup     G    74.3    0.2     0
GW_Lup     R    85.4    0.3     0
GW_Lup     G    103     1       1
GW_Lup     R    108     1       1
HD_142666  R    6       1       0
HD_142666  G    16      1       0
HD_142666  R    20      1       1
HD_142666  G    37      1       1
HD_142666  R    40      1       2
HD_142666  G    55      1       2
HD_143006  G    3       1.5     0
HD_143006  R    6       1       0
HD_143006  G    22      1       1
HD_143006  R    40.8    0.1     1
HD_143006  G    51      1       2
HD_143006  R    64.9    0.4     2
HD_163296  G    10      1       0
HD_163296  R    14      1       0
HD_163296  G    48      1       1
HD_163296  R    67.04   0.12    1
HD_163296  G    86.4    0.3     2
HD_163296  R    99.69   0.09    2
HD_163296  G    145     1       3
HD_163296  R    155     1       3
IM_Lup     G    117.4   0.5     0
IM_Lup     R    133.5   0.5     0
MY_Lup     G    8       2       0
MY_Lup     R    20      3       0
MY_Lup     G    30      3       1
MY_Lup     R    40      4       1
RU_Lup     G    14      2       0
RU_Lup     R    17      2       0
RU_Lup     G    21      1       1
RU_Lup     R    24      1       1
RU_Lup     G    29.1    0.2     2
RU_Lup     R    34.0    0.2     2
RU_Lup     G    42      4       3
RU_Lup     R    50      5       3
SR_4       G    11      1       0
SR_4       R    18      1       0
Sz_114     G    38.6    0.6     0
Sz_114     R    45.4    0.5     0
Sz_129     G    5       2       0
Sz_129     R    10      1       0
Sz_129     G    41.0    0.4     1
Sz_129     R    46.1    0.4     1
Sz_129     G    64      6       2
Sz_129     R    69      6       2
WaOph_6    G    79      1       0
WaOph_6    R    87.5    0.4     0
WSB_52     G    21      2       0
WSB_52     R    25      2       0
TW_Hya     G    1       0.2     0
TW_Hya     R    3.0     0.5     0
TW_Hya     G    25.62   0.14    1
TW_Hya     R    29.5    0.5     1
TW_Hya     G    31.5    0.5     2
TW_Hya     R    33      0.5     2
TW_Hya     G    41.64   0.09    3
TW_Hya     R    44.72   0.07    3
TW_Hya     G    48      4       4
TW_Hya     R    52      4       4
HL_Tau     G    13.9    0.2     0
HL_Tau     R    21.4    0.1     0
HL_Tau     G    33.9    0.1     1
HL_Tau     R    40.0    0.1     1
HL_Tau     G    44      1       2
HL_Tau     R    49      1       2
HL_Tau     G    53      3       3
HL_Tau     R    58      3       3
HL_Tau     G    67.4    0.1     4
HL_Tau     R    72.2    0.1     4
HL_Tau     G    77.4    0.1     5
HL_Tau     R    85.4    0.1     5
HL_Tau     G    96      4       6
HL_Tau     R    102     4       6
